date,week,region,deaths,tests
2020-09-18,38,PL62,1.0,0.0
2020-09-18,38,PL71,1.0,0.0
2020-09-18,38,PL81,1.0,0.0
2020-09-18,38,PL82,4.0,0.0
2020-09-18,38,PL84,1.0,0.0
2020-09-18,38,PL9,3.0,0.0
2020-09-19,38,PL22,1.0,0.0
2020-09-19,38,PL41,2.0,0.0
2020-09-19,38,PL52,1.0,0.0
2020-09-19,38,PL61,1.0,0.0
2020-09-19,38,PL63,2.0,0.0
2020-09-19,38,PL71,1.0,0.0
2020-09-19,38,PL81,1.0,0.0
2020-09-19,38,PL9,3.0,0.0
2020-09-20,38,PL21,2.0,0.0
2020-09-20,38,PL22,1.0,0.0
2020-09-20,38,PL41,2.0,0.0
2020-09-20,38,PL81,1.0,0.0
2020-09-20,38,PL82,3.0,0.0
